SAMPLE_ID,MTERFD2,KCNK5,AP3M2,PODXL2,ZNF683,SNRPD3,HAPLN3,NMI,ST7L,HIST1H2BC,C10orf35,BBS2,FAM98A,UFD1L,USF1,PLEKHG3,APOL3,ORC6L,MTAP,DBF4,HIST1H2BN,RNF148,KIF24,CLASS
TCGA-DK-A3IU-01,0.258362108,0.058849701,0.057953251,0.077788664,0.125499698,0.125338347,0.228243844,0.396067387,0.131634804,0.102529944,0.043354318,0.207944944,0.091048549,0.140986982,0.183950267,0.163972032,0.356403876,0.06681621,0.061830592,0.249977795,0.067357007,0.012879049,0.175716592,2
TCGA-DK-A3IV-01,0.229137882,0.280673546,0.175936293,0.019430814,0.026501592,0.009312326,0.050144213,0.215347034,0.243987724,0.006087506,0.614401389,0.241520176,0.052590448,0,0.060763562,0.186495548,0.108727123,0.119286056,0.137540157,0.327483243,0.013910963,0.039012054,0.379332966,1
TCGA-DK-A3WW-01,0.307354807,0.063387965,0.175562664,0.000124299,0.199824425,0.265942632,0.221802041,0.773929778,0.110061306,0.021717182,0.104419788,0.285080042,0.222606665,0.162582427,0.063673228,0.304464615,0.187898183,0.256861358,0.212074549,0.27790692,0.010065993,0,0.04768441,2
TCGA-DK-A3WX-01,0.234119615,0.03125003,0.158081822,0.022781317,0.039296658,0.14879404,0.116141322,0.316599361,0.36941735,0.051941846,0.159244312,0.200266367,0.265044487,0.232609179,0.02897972,0.373052926,0.243513429,0.30351475,0.005384485,0.262840634,0.013005422,0,0.153448861,1
TCGA-DK-A3WY-01,1,0.159589472,0.130123738,0.085019233,0.016283745,0.176544564,0.219021407,0.269567231,0.178123495,0.054821868,0.112110493,0.184107402,0.142036119,0.166086008,0.12578034,0.079243999,0.20398812,0.296496144,0.040736994,0.366377907,0.045437811,0.007168417,0.245342141,1
TCGA-DK-A3X1-01,0.09188233,0.092685993,0.180370522,0.179097451,0.001046067,0.108908689,0.07807925,0.314383211,0.13580032,0.017396553,0.341571002,0.201131421,0.343727847,0.107244916,0.122675136,0.280532962,0.032870026,0.724087686,0.074986352,0.423883771,0.011909435,0.075148707,0.084469638,2
TCGA-DK-A3X2-01,0.200878958,0.064824908,0.692053737,0.218131333,0.000279056,0.042448105,0.01425879,0.224300002,0.193255609,0.017254221,0.309609086,0.492877422,0.194005314,0.020125213,0.023487668,0.211924445,0.070802022,0.137164847,0.118134619,0.415645701,0.027797524,0,0.328047985,1
TCGA-DK-A6AV-01,0.182858376,0.133714403,0.08573829,0.073350722,0.00307099,0.226552344,0.021048618,0.120993941,0.165018611,0.058421956,0.216280743,0.195959167,0.214696392,0.348922836,0.037808603,0.135454691,0.019996454,0.296571279,0.002092544,0.362541957,0.057149905,0.010606177,0.104588785,1
TCGA-DK-A6AW-01,0.078709277,0.647600721,0.105209767,0.434793513,0.003336253,0.118307168,0.047531665,0.229103365,0.180187191,0.15898444,0.405838753,0.498295866,0.044971712,0.218271418,0.046861486,0.118778306,0.008380501,0.101933206,0.072275899,0.071320614,0.088625296,0.049931211,0.037365313,2
TCGA-DK-A6B0-01,0.510030972,0.064530858,0.392393908,0.132635362,0.003237171,0.179122749,0.018338747,0.261309341,0.24500714,0.009865827,0.274385014,0.649070462,0.133325274,0.102079284,0.099068635,0.542023247,0.089914617,0.035498757,0.071871494,0.080013528,0.01791561,0.008075557,0.025992742,1
TCGA-DK-A6B1-01,0.093772511,0.374218172,0.14297922,0.239647967,0.001231147,0.02419893,0.008137259,0.109103971,0.239951499,0.006750749,0.28897169,0.341929665,0.183920077,0.067254174,0.029816759,0.094536697,0.035486482,0.098054707,0.066596249,0.119654071,0.071834318,0.011054726,0.117639509,1
